temp,usages,datetime
105.40076,0.83,2020-08-15 21:00:00
104.38700000000001,0.8225,2020-08-15 22:00:00
103.2692,0.8075,2020-08-15 23:00:00
99.8195,0.7875000000000001,2020-08-16 00:00:00
96.12716,0.775,2020-08-16 01:00:00
94.9694,0.76,2020-08-16 02:00:00
93.03836000000001,0.7424999999999999,2020-08-16 03:00:00
90.10094000000001,0.74,2020-08-16 04:00:00
87.78776,0.73,2020-08-16 05:00:00
85.69579999999999,0.725,2020-08-16 06:00:00
83.66036,0.73,2020-08-16 07:00:00
82.36076,0.535,2020-08-16 08:00:00
81.34880000000001,0.02,2020-08-16 09:00:00
80.38076000000001,0.0275,2020-08-16 10:00:00
79.3886,0.4975,2020-08-16 11:00:00
79.7018,0.8725,2020-08-16 12:00:00
82.60105999999999,0.895,2020-08-16 13:00:00
86.55206,0.905,2020-08-16 14:00:00
89.97224,0.9075,2020-08-16 15:00:00
94.8227,0.9075,2020-08-16 16:00:00
98.91284,0.9025000000000001,2020-08-16 17:00:00
100.07960000000001,0.8975,2020-08-16 18:00:00
102.54146,0.8574999999999999,2020-08-16 19:00:00
104.0108,0.8325,2020-08-16 20:00:00
104.67139999999999,0.8150000000000001,2020-08-16 21:00:00
104.378,0.7975000000000001,2020-08-16 22:00:00
102.70976,0.8,2020-08-16 23:00:00
99.49874,0.79,2020-08-17 00:00:00
96.76796,0.7775000000000001,2020-08-17 01:00:00
93.45596,0.755,2020-08-17 02:00:00
91.35176,0.735,2020-08-17 03:00:00
89.77856,0.7275,2020-08-17 04:00:00
88.3274,0.725,2020-08-17 05:00:00
84.77654,0.5175,2020-08-17 06:00:00
81.68036000000001,0.02,2020-08-17 07:00:00
80.37176,0.035,2020-08-17 08:00:00
78.80936,0.595,2020-08-17 09:00:00
78.0692,0.4,2020-08-17 10:00:00
77.4086,0.8274999999999999,2020-08-17 11:00:00
77.711,0.8574999999999999,2020-08-17 12:00:00
79.94966,0.8274999999999999,2020-08-17 13:00:00
84.17426,0.8374999999999999,2020-08-17 14:00:00
87.99224000000001,0.85,2020-08-17 15:00:00
92.7815,0.8425,2020-08-17 16:00:00
93.09776,0.84,2020-08-17 17:00:00
93.89264,0.8274999999999999,2020-08-17 18:00:00
96.24164,0.8075,2020-08-17 19:00:00
96.41156,0.775,2020-08-17 20:00:00
96.08,0.7625,2020-08-17 21:00:00
96.0386,0.7424999999999999,2020-08-17 22:00:00
93.42536,0.735,2020-08-17 23:00:00
89.40794,0.7475,2020-08-18 00:00:00
86.03816,0.7424999999999999,2020-08-18 01:00:00
84.33176,0.74,2020-08-18 02:00:00
82.75856,0.74,2020-08-18 03:00:00
81.38839999999999,0.7224999999999999,2020-08-18 04:00:00
82.86224,0.7075,2020-08-18 05:00:00
82.10696,0.33999999999999997,2020-08-18 06:00:00
82.19084000000001,0.02,2020-08-18 07:00:00
81.66956,0.035,2020-08-18 08:00:00
79.70036,0.41500000000000004,2020-08-18 09:00:00
78.41156000000001,0.8150000000000001,2020-08-18 10:00:00
78.04939999999999,0.845,2020-08-18 11:00:00
76.24616,0.8674999999999999,2020-08-18 12:00:00
81.31496000000001,0.2125,2020-08-18 13:00:00
87.57464,0.765,2020-08-18 14:00:00
91.59206,0.81,2020-08-18 15:00:00
94.98164,0.905,2020-08-18 16:00:00
